dlxs_id,original_lang,possible codes,possible lang namesnotes & keywords
AQH5552.0001.001,map,['phi'],['Caluyanun'],"['Novenas.', 'Caluyanun language -- Texts.', 'Catholic Church -- Prayer-books and devotions']['Microfilm no. 9', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']"
AQJ8027.0001.001,map,"['iba', 'phi']","['Iban', 'Ibanag']","['Novenas.', 'Catholic Church -- Prayer-books and devotions']['Microfilm no. 25', 'In Ibanag.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From Barlett collection on the Philippines and the East Indies.']"
APS8603.0001.001,map,"['bih', 'ind', 'mdr', 'mun']","['Pan', 'Indonesian', 'Mandar', 'Ho']","['Indonesian literature.', 'Pangurabaan, Sutan, -- Hongersnood.']['Microfilm no. 47.', 'In Mandarling.', 'Novel.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']"
AQA5897.0001.001,map,"['bai', 'bih', 'inc', 'nic', 'phi']","['Bana ', 'Pan', 'Sina', 'San ', 'Zambal']","['Atonement.', 'Jesus Christ -- Crucifixion.']['Microfilm no. 29.', 'In Zambal language.', '""Biay a Dinalanan nan Mablin Catauan Tamon Jesucristo sa Panonondon Nan San Sinacban Bana sa Casalanan nin Sitamoi Pinalsa Na.""--T.p.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']"
AQA5899.0001.001,map,"['iba', 'phi']","['Iban', 'Ibanag']","['Atonement.', 'Jesus Christ -- Crucifixion.']['Microfilm no. 29.', 'In Ibanag language.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']"
AQA5918.0001.001,map,"['hil', 'nic', 'sit', 'sai']","['Hiligaynon', 'Ko ', 'Ika ']","['Hiligaynon language -- Texts.']['Microfilm no. 30.', 'Contents: Ika xxii nga kaadlawan ko xix martires--Inang-Banwa--The Announcer (Nov. 22, 1925; April 18, 1926, April 25, 1926, April 30, 1931)--Banhaw (3 items).', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']"
AQA5919.0001.001,map,"['anp', 'bih', 'ssa', 'pag', 'phi', 'tgl']","['Anga', 'Pan', 'Baka', 'Pangasinan', 'Zambal', 'Pilipino']","['Zambales (Philippines) -- History.', 'Pangasinan (Philippines) -- History.', 'Philippines -- History']['In Pangasinan language.', '""Saray agawgawad Pangasinan tan Zambales nen taon iran 1897 angad 1900. Bakal na Pilipino tan Kastila, tan bakal na Pilipino tan Estados Unidos."" --T. p.', 'Microfilm no. 30.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']"
AQA5921.0001.001,map,[],[],"['Hilango drama (comedy).', 'Hilango literature.']['In Hilongo (Philippine language)', 'Microfilm no. 30.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']"
APS8630.0001.001,map,['phi'],['Isinay'],"['Catechisms, Isinay.', 'Catholic Church -- Catechisms.']['Microfilm no. 47.', 'In Isinay language.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']"
AQH2082.0001.001,map,"['mkh', 'war']","['Wa', 'Waray']","['Waray language -- Texts.', 'Mary, -- Blessed Virgin, Saint -- Prayer-books and devotions']['In Waray language.', 'Microfilm no. 26', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']"
AQP5052.0001.001,map,['phi'],['Maranao'],"['Maranao (Philippine people)']['Microfilm no. 2', 'In Maranao language.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']"
APS8659.0001.001,map,['dut'],['Dutch'],"['Dutch language -- Dictionaries']['Microfilm no. 47.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']"
AFM7588.0001.001,map,['phi'],['Subanun'],"['Subanun language -- Study and teaching', 'Subanun language -- Grammar.']['Cover title.']"
AQL6287.0001.001,map,['hil'],['Hiligaynon'],"['Corridos', 'Hiligaynon literature']['Microfilm no. 16', 'In Hiligaynon.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']"
