dlxs_id,link,original_lang,approved,mul?,possible codes,possible lang names,notes,subject headings & Notes
AQP0230.0001.001,http://name.umdl.umich.edu/AQP0230.0001.001,map,pam - Pampanga,n,"['mkh', 'pam']","['Wa', 'Pampanga']",,"['Novenas.', 'Jesus Christ -- Devotional literature.', 'Catholic Church -- Prayer-books and devotions']['Microfilm no. 4', 'Continued from : GLMR 30035(5)', 'In Pampanga language.', 'Library wanting : pp 1-145.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.']"
AUR3280.0001.001,http://name.umdl.umich.edu/AUR3280.0001.001,map,tgl - Tagalog,n,['tgl'],['Tagalog'],,"['Corridos -- Philippines.', 'Tagalog literature.']['Microfilm no. 35.', 'Includes bibliographical references.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']"
AHU4052.0001.001,http://name.umdl.umich.edu/AHU4052.0001.001,map,"eng - English, phi - Maranao",y,"['eng', 'phi']","['English', 'Maranao']",,['Philippines -- Periodicals.']['Text in English and Maranao.']
AQL8789.0001.001,http://name.umdl.umich.edu/AQL8789.0001.001,map,hil - Hiligaynon,n,['hil'],['Hiligaynon'],,"['Hiligaynon literature -- Texts.', 'Bible.: -- N.T.']['Microfilm no. 16', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']"
AJW2666.0001.001,http://name.umdl.umich.edu/AJW2666.0001.001,map,"phi - Magindanao, eng - English",n,"['eng', 'phi']","['English', 'Magindanao']",investigate if eng is necessary; only feauted in back note; phi should be primary,"['Magindanao language -- Readers.', 'Education, Elementary -- Philippines']['Cover title.', 'In Magindanao (Arabic script)', 'Text and added t.p. in Magindanao; ""Note"", iii p. at end, in English.']"
AQP0228.0001.001,http://name.umdl.umich.edu/AQP0228.0001.001,map,phi - Bontoc,,[],[],,"['Mass.', 'Catholic Church -- Liturgy.', 'Bible. -- .N. T. -- Commentaries.']['Microfilm no. 4', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']"
APT6457.0001.001,http://name.umdl.umich.edu/APT6457.0001.001,map,btk - Karo-Batak,n,['btk'],['Batak'],Karo-Batak is under BTK; is that the same as Batak-Karo? Conclusion: I think yes; ,"['Bible. -- N.T. -- Commentaries.']['Microfilm no. 45.', 'In Batak-Karo.', 'Translation of the Gospel according to Matthew.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett collection on the Philippines and East Indies.']"
AQQ5239.0001.001,http://name.umdl.umich.edu/AQQ5239.0001.001,map,hil - Hiligaynon,n,['hil'],['Hiligaynon'],,"['Corridos.', 'Philippine literature (Spanish) -- Translation into Hiligaynon.']['Microfilm no. 16', 'In Hiligaynon language.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']"
AQJ7942.0001.001,http://name.umdl.umich.edu/AQJ7942.0001.001,map,phi - Ibanag,n,"['iba', 'phi']","['Iban', 'Ibanag']",,"['Ibanag language -- Grammar.', 'Ibanag language -- Dictionaries']['Microfilm no. 25', 'In Ibanag.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From Barlett collection on the Philippines and the East Indies.']"
AQM0352.0001.001,http://name.umdl.umich.edu/AQM0352.0001.001,map,phi - Ibanag,n,"['iba', 'phi']","['Iban', 'Ibanag']",,"['Novenas.', 'Catholic Church -- Prayer-books and devotions']['Microfilm no. 25', 'In Ibanag.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']"
AQH2077.0001.001,http://name.umdl.umich.edu/AQH2077.0001.001,map,hil - Hiligaynon,n,['hil'],['Hiligaynon'],,"['Novenas.', 'Devotional literature, Hiligaynon.']['Microfilm no. 9', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']"
AQH5552.0001.001,http://name.umdl.umich.edu/AQH5552.0001.001,map,phi - Caluyanun,n,['phi'],['Caluyanun'],,"['Novenas.', 'Caluyanun language -- Texts.', 'Catholic Church -- Prayer-books and devotions']['Microfilm no. 9', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']"
AQJ8027.0001.001,http://name.umdl.umich.edu/AQJ8027.0001.001,map,phi - Ibanag,n,"['iba', 'phi']","['Iban', 'Ibanag']",,"['Novenas.', 'Catholic Church -- Prayer-books and devotions']['Microfilm no. 25', 'In Ibanag.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From Barlett collection on the Philippines and the East Indies.']"
APS8603.0001.001,http://name.umdl.umich.edu/APS8603.0001.001,map,btk - Mandailing,n,"['bih', 'ind', 'mdr', 'mun']","['Pan', 'Indonesian', 'Mandar', 'Ho']","concculsion: Angolka is referred to in the title - ""ANGKOLASCH"" which is dutch language construction.  still not sure what ""mandarling"" is; perhaps this? http://www.language-archives.org/language/mdr; ","['Indonesian literature.', 'Pangurabaan, Sutan, -- Hongersnood.']['Microfilm no. 47.', 'In Mandarling.', 'Novel.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']"
AQA5897.0001.001,http://name.umdl.umich.edu/AQA5897.0001.001,map,phi - Zambal,n,"['bai', 'bih', 'inc', 'nic', 'phi']","['Bana ', 'Pan', 'Sina', 'San ', 'Zambal']",,"['Atonement.', 'Jesus Christ -- Crucifixion.']['Microfilm no. 29.', 'In Zambal language.', '""Biay a Dinalanan nan Mablin Catauan Tamon Jesucristo sa Panonondon Nan San Sinacban Bana sa Casalanan nin Sitamoi Pinalsa Na.""--T.p.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']"
AQA5899.0001.001,http://name.umdl.umich.edu/AQA5899.0001.001,map,phi - Ibanag,n,"['iba', 'phi']","['Iban', 'Ibanag']",,"['Atonement.', 'Jesus Christ -- Crucifixion.']['Microfilm no. 29.', 'In Ibanag language.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']"
AQA5918.0001.001,http://name.umdl.umich.edu/AQA5918.0001.001,map,hil - Hiligaynon,n,"['hil', 'nic', 'sit', 'sai']","['Hiligaynon', 'Ko ', 'Ko ', 'Ika ']",check text,"['Hiligaynon language -- Texts.']['Microfilm no. 30.', 'Contents: Ika xxii nga kaadlawan ko xix martires--Inang-Banwa--The Announcer (Nov. 22, 1925; April 18, 1926, April 25, 1926, April 30, 1931)--Banhaw (3 items).', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']"
AQA5919.0001.001,http://name.umdl.umich.edu/AQA5919.0001.001,map,pag - Pangasinan,,"['anp', 'bih', 'ssa', 'pag', 'phi', 'tgl']","['Anga', 'Pan', 'Baka', 'Pangasinan', 'Zambal', 'Pilipino']",check on Zambal,"['Zambales (Philippines) -- History.', 'Pangasinan (Philippines) -- History.', 'Philippines -- History']['In Pangasinan language.', '""Saray agawgawad Pangasinan tan Zambales nen taon iran 1897 angad 1900. Bakal na Pilipino tan Kastila, tan bakal na Pilipino tan Estados Unidos."" --T. p.', 'Microfilm no. 30.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']"
AQA5921.0001.001,http://name.umdl.umich.edu/AQA5921.0001.001,map,hil - Hiligaynon,n,[],[],"look into ""Hilango""; alertantive spelling?","['Hilango drama (comedy).', 'Hilango literature.']['In Hilongo (Philippine language)', 'Microfilm no. 30.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']"
APS8630.0001.001,http://name.umdl.umich.edu/APS8630.0001.001,map,phi - Isinay,n,['phi'],['Isinay'],,"['Catechisms, Isinay.', 'Catholic Church -- Catechisms.']['Microfilm no. 47.', 'In Isinay language.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']"
AQH2082.0001.001,http://name.umdl.umich.edu/AQH2082.0001.001,map,war - Waray,n,"['mkh', 'war']","['Wa', 'Waray']",,"['Waray language -- Texts.', 'Mary, -- Blessed Virgin, Saint -- Prayer-books and devotions']['In Waray language.', 'Microfilm no. 26', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']"
AQP5052.0001.001,http://name.umdl.umich.edu/AQP5052.0001.001,map,phi - Marano,n,['phi'],['Maranao'],,"['Maranao (Philippine people)']['Microfilm no. 2', 'In Maranao language.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']"
APS8659.0001.001,http://name.umdl.umich.edu/APS8659.0001.001,map,"dut - Dutch, btk - Batak",y,['dut'],['Dutch'],"Batak-Dutch Dictionary, adding it. look at text too","['Dutch language -- Dictionaries']['Microfilm no. 47.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']"
AFM7588.0001.001,http://name.umdl.umich.edu/AFM7588.0001.001,map,phi - Subanun,n,['phi'],['Subanun'],,"['Subanun language -- Study and teaching', 'Subanun language -- Grammar.']['Cover title.']"
AQL6287.0001.001,http://name.umdl.umich.edu/AQL6287.0001.001,map,hil - Hiligaynon,n,['hil'],['Hiligaynon'],,"['Corridos', 'Hiligaynon literature']['Microfilm no. 16', 'In Hiligaynon.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']"
AEL9820.0001.001,,['fill: undetermined'],spa - Spanish,n,,,,
AFM7592.0001.001,,['eng: eng'],tgl - Tagalog,,,,,
AFJ6833.0001.001,,['fill: undetermined'],eng - English,,,,,
AFJ6833.0001.002,,['fill: undetermined'],eng - English,,,,,
AFQ1612.0001.001,,['fill: undetermined'],eng - English,,,,,
AGD9059.0001.001,,['fill: undetermined'],"eng , spa",Y,,,,
AGN4492.0001.001,,[],"eng , tgl ",Y,,,,
AFU8648.0001.001,,['und: undetermined'],spa - Spanish,,,,,
AQL8772.0001.001,,['eng: eng'],hil - Hiligaynon,,,,,
AFU8653.0001.001,,['und: undetermined'],ceb - Cebuano,,,,,
AEK7735.0001.001,,rus,spa - Spanish,,,,,
AHJ3122.0001.001,,rus,eng - English,,,,,
AHJ3122.0001.002,,rus,eng - English,,,,,
